,user,wave_no,day,vaccinated,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all,is_infected
2195,480,10,5,0,533,27.76735459662289,0.0,1.3133208255159476,70.91932457786116,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2196,480,10,6,0,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2197,480,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2198,281,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2199,281,10,2,0,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2200,281,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2201,281,10,4,0,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2202,281,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2203,281,10,6,0,20,0.0,0.0,0.0,100.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2204,281,10,7,0,18,0.0,0.0,0.0,100.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2205,292,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2206,292,10,2,0,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2207,292,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2208,292,10,4,0,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2209,292,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2210,292,10,6,0,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2211,292,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2212,120,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2213,120,10,2,0,203,3.448275862068966,2.9556650246305423,0.0,93.5960591133005,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2214,120,10,3,0,162,1.9108280254777077,7.006369426751592,19.745222929936308,71.33757961783441,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2215,120,10,4,0,196,2.0408163265306127,0.0,25.000000000000007,72.95918367346938,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2216,120,10,5,0,143,0.6993006993006993,0.0,35.664335664335674,63.63636363636363,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2217,120,10,6,0,315,25.71428571428571,0.0,19.365079365079367,54.920634920634924,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2218,120,10,7,0,202,1.98019801980198,0.0,32.17821782178218,65.84158415841584,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2219,306,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2220,306,10,2,0,59,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2221,306,10,3,0,112,8.035714285714285,0.0,0.0,91.96428571428571,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2222,306,10,4,0,115,1.7391304347826086,0.0,0.8695652173913043,97.3913043478261,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2223,306,10,5,0,108,10.185185185185183,0.9259259259259258,6.481481481481483,82.4074074074074,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2224,306,10,6,0,370,15.099715099715098,0.0,19.37321937321937,65.52706552706552,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2225,306,10,7,0,6,20.0,0.0,60.00000000000001,20.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2226,263,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2227,263,10,2,0,296,4.729729729729732,0.0,0.0,95.27027027027027,14.86761710794297,4.276985743380854,0.0,80.85539714867616,1
2228,263,10,3,0,279,32.733812949640296,7.553956834532373,0.0,59.712230215827326,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,1
2229,263,10,4,0,6,16.666666666666668,33.333333333333336,33.333333333333336,16.666666666666668,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,1
2230,263,10,5,0,448,23.660714285714285,0.0,10.044642857142858,66.29464285714286,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,1
2231,263,10,6,0,6,16.666666666666668,16.666666666666668,0.0,66.66666666666667,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,1
2232,263,10,7,0,49,4.0816326530612255,0.0,6.122448979591838,89.79591836734694,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,1
2233,279,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2234,279,10,2,1,154,18.83116883116883,0.0,0.0,81.16883116883118,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2235,279,10,3,1,526,39.363817097415506,11.33200795228628,3.5785288270377733,45.72564612326044,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2236,279,10,4,1,47,42.5531914893617,48.93617021276596,8.51063829787234,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2237,279,10,5,1,175,26.436781609195403,0.0,22.413793103448278,51.149425287356316,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2238,279,10,6,1,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2239,279,10,7,1,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2240,447,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2241,447,10,2,0,396,5.166051660516605,21.033210332103323,0.0,73.80073800738006,14.86761710794297,4.276985743380854,0.0,80.85539714867616,1
2242,447,10,3,0,63,15.686274509803924,11.764705882352944,58.82352941176471,13.725490196078429,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,1
2243,447,10,4,0,99,18.181818181818183,0.0,21.21212121212121,60.60606060606061,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,1
2244,447,10,5,0,110,2.727272727272727,0.0,57.27272727272727,40.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,1
2245,447,10,6,0,336,28.295819935691327,0.0,28.938906752411576,42.765273311897104,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,1
2246,447,10,7,0,75,42.647058823529406,0.0,27.94117647058824,29.41176470588236,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,1
2247,139,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2248,139,10,2,0,7,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2249,139,10,3,0,8,25.0,0.0,0.0,75.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2250,139,10,4,0,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2251,139,10,5,0,78,91.02564102564102,0.0,0.0,8.974358974358974,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2252,139,10,6,0,511,48.04928131416838,0.20533880903490753,8.008213552361395,43.73716632443531,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2253,139,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2254,67,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2255,67,10,2,0,144,0.0,90.14084507042253,0.0,9.859154929577468,14.86761710794297,4.276985743380854,0.0,80.85539714867616,1
2256,67,10,3,0,168,5.952380952380952,51.78571428571429,42.26190476190476,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,1
2257,67,10,4,0,230,77.82608695652173,0.4347826086956521,21.73913043478261,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,1
2258,67,10,5,0,46,0.0,0.0,100.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,1
2259,67,10,6,0,194,35.8974358974359,30.769230769230766,21.153846153846153,12.17948717948718,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,1
2260,67,10,7,0,276,93.70078740157479,3.149606299212598,2.362204724409448,0.7874015748031495,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,1
2261,105,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2262,105,10,2,0,320,0.6968641114982578,0.0,0.0,99.30313588850174,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2263,105,10,3,0,62,32.25806451612903,0.0,0.0,67.74193548387096,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2264,105,10,4,0,320,33.75,0.0,10.625,55.625,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2265,105,10,5,0,251,27.091633466135455,0.3984063745019921,21.115537848605577,51.39442231075699,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2266,105,10,6,0,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2267,105,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2268,324,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2269,324,10,2,0,1,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2270,324,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2271,324,10,4,0,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2272,324,10,5,0,5,0.0,0.0,0.0,100.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2273,324,10,6,0,52,16.0,0.0,18.0,66.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2274,324,10,7,0,86,51.5625,3.125000000000001,9.375000000000004,35.9375,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2275,326,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2276,326,10,2,0,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2277,326,10,3,0,15,0.0,0.0,0.0,100.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2278,326,10,4,0,29,96.55172413793103,0.0,0.0,3.448275862068965,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2279,326,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2280,326,10,6,0,1,100.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2281,326,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2282,382,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2283,382,10,2,0,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2284,382,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2285,382,10,4,0,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2286,382,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2287,382,10,6,0,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2288,382,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2289,104,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2290,104,10,2,1,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2291,104,10,3,1,4,25.0,0.0,0.0,75.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2292,104,10,4,1,15,0.0,0.0,0.0,100.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2293,104,10,5,1,70,24.285714285714285,0.0,25.71428571428571,50.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2294,104,10,6,1,46,27.777777777777775,33.33333333333333,5.5555555555555545,33.33333333333333,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2295,104,10,7,1,43,86.04651162790698,0.0,2.3255813953488365,11.62790697674418,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2296,315,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2297,315,10,2,0,4,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2298,315,10,3,0,21,90.47619047619048,0.0,0.0,9.523809523809522,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2299,315,10,4,0,87,17.241379310344833,0.0,4.597701149425288,78.16091954022988,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2300,315,10,5,0,320,22.5,0.0,14.0625,63.4375,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2301,315,10,6,0,6,33.333333333333336,0.0,0.0,66.66666666666667,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
