,user,points,state,timestamp,vaccination_time,wave_no,decision
142,273,100,S,2014-09-15 07:54:39,,1,0
143,385,100,S,2014-09-15 07:54:19,,1,0
144,477,41,R,2014-09-15 07:52:58,,1,0
145,82,90,V,2014-09-15 07:51:06,2014-09-09 17:20:00,1,1
146,116,90,V,2014-09-15 07:51:10,2014-09-08 14:10:00,1,1
147,192,59,R,2014-09-15 07:54:49,,1,0
148,73,100,S,2014-09-15 07:46:33,,1,0
149,130,90,V,2014-09-15 07:50:59,2014-09-08 17:45:00,1,1
150,16,53,R,2014-09-15 07:52:44,,1,0
151,268,100,S,2014-09-15 07:51:30,,1,0
152,66,54,V,2014-09-15 07:50:33,2014-09-08 14:55:00,1,1
153,423,51,V,2014-09-15 07:50:57,2014-09-08 14:20:00,1,1
154,343,47,R,2014-09-15 07:51:21,,1,0
155,473,90,V,2014-09-15 07:52:54,2014-09-10 17:30:00,1,1
156,74,100,S,2014-09-15 07:53:09,,1,0
157,378,100,S,2014-09-15 07:51:41,,1,0
158,309,90,V,2014-09-15 07:52:54,2014-09-08 14:55:00,1,1
159,57,40,R,2014-09-15 07:48:43,,1,0
160,485,90,V,2014-09-15 07:52:14,2014-09-08 14:15:00,1,1
161,108,90,V,2014-09-15 07:51:32,2014-09-08 22:10:00,1,1
162,456,100,S,2014-09-15 07:54:25,,1,0
163,471,65,V,2014-09-15 07:50:06,2014-09-08 22:25:00,1,1
164,447,44,R,2014-09-15 07:52:25,,1,0
165,377,100,S,2014-09-15 07:24:18,,1,0
166,486,80,V,2014-09-15 07:51:53,2014-09-08 14:10:00,1,1
167,318,90,V,2014-09-15 07:53:24,2014-09-08 15:15:00,1,1
168,406,60,R,2014-09-15 07:54:53,,1,0
169,27,90,V,2014-09-15 07:53:06,2014-09-09 02:00:00,1,1
170,246,39,R,2014-09-15 07:51:01,,1,0
171,158,47,R,2014-09-15 07:52:36,,1,0
172,203,100,S,2014-09-15 07:52:05,,1,0
173,44,100,S,2014-09-15 07:53:50,,1,0
174,422,100,S,2014-09-15 07:50:46,,1,0
175,147,100,S,2014-09-15 07:50:23,,1,0
176,117,100,S,2014-09-15 07:53:44,,1,0
177,351,63,V,2014-09-15 07:53:25,2014-09-08 14:35:00,1,1
178,319,63,V,2014-09-15 07:53:55,2014-09-08 20:55:00,1,1
179,460,90,V,2014-09-15 07:54:52,2014-09-08 14:10:00,1,1
180,125,45,R,2014-09-15 07:53:22,,1,0
181,200,46,R,2014-09-15 07:54:02,,1,0
182,308,60,V,2014-09-15 07:54:05,2014-09-14 18:55:00,1,1
183,243,46,R,2014-09-15 07:52:58,,1,0
184,105,59,V,2014-09-15 07:45:12,2014-09-08 14:40:00,1,1
185,67,52,R,2014-09-15 07:51:29,,1,0
186,424,38,R,2014-09-15 07:53:40,,1,0
187,382,67,V,2014-09-15 07:50:51,2014-09-09 22:35:00,1,1
188,64,100,S,2014-09-15 07:53:29,,1,0
189,10,100,S,2014-09-15 07:50:02,,1,0
190,96,100,S,2014-09-15 07:54:32,,1,0
191,55,35,R,2014-09-15 07:51:58,,1,0
192,59,100,S,2014-09-15 07:54:24,,1,0
193,185,57,R,2014-09-15 07:52:40,,1,0
194,241,50,R,2014-09-15 07:52:21,,1,0
195,252,90,V,2014-09-15 07:54:13,2014-09-08 14:15:00,1,1
196,475,43,R,2014-09-15 07:52:14,,1,0
197,441,52,R,2014-09-15 07:51:12,,1,0
198,238,90,V,2014-09-15 07:51:56,2014-09-08 15:30:00,1,1
199,218,90,V,2014-09-15 07:53:57,2014-09-10 01:05:00,1,1
200,444,55,R,2014-09-15 07:54:42,,1,0
201,310,44,R,2014-09-15 07:54:57,,1,0
202,440,90,V,2014-09-15 07:55:00,2014-09-10 20:40:00,1,1
203,381,100,S,2014-09-15 05:09:45,,1,0
204,1,56,I,2014-09-15 07:52:26,,1,0
205,442,90,V,2014-09-15 07:51:04,2014-09-08 15:25:00,1,1
206,429,60,V,2014-09-15 07:54:14,2014-09-08 20:45:00,1,1
207,49,71,V,2014-09-15 07:53:35,2014-09-08 14:15:00,1,1
208,46,61,R,2014-09-15 07:51:28,,1,0
209,89,90,V,2014-09-15 07:54:00,2014-09-08 18:50:00,1,1
210,289,100,S,2014-09-15 07:52:18,,1,0
211,209,62,R,2014-09-15 06:42:14,,1,0
212,159,100,S,2014-09-15 07:53:25,,1,0
213,358,55,V,2014-09-15 07:51:32,2014-09-08 15:30:00,1,1
214,300,90,V,2014-09-15 07:52:26,2014-09-08 14:35:00,1,1
215,306,38,R,2014-09-15 07:54:22,,1,0
216,33,86,R,2014-09-15 07:54:27,,1,0
217,52,50,R,2014-09-15 07:53:35,,1,0
218,364,51,R,2014-09-15 07:50:28,,1,0
219,17,55,R,2014-09-15 07:52:17,,1,0
220,242,90,V,2014-09-15 04:04:13,2014-09-09 21:25:00,1,1
221,400,56,V,2014-09-15 07:54:04,2014-09-08 14:15:00,1,1
222,161,100,S,2014-09-15 07:53:21,,1,0
223,136,90,V,2014-09-15 07:54:04,2014-09-08 18:10:00,1,1
224,77,53,V,2014-09-15 07:50:31,2014-09-10 18:05:00,1,1
225,135,90,V,2014-09-15 07:53:35,2014-09-08 16:35:00,1,1
226,41,63,V,2014-09-15 07:52:49,2014-09-08 14:20:00,1,1
227,178,53,V,2014-09-15 07:54:08,2014-09-08 14:15:00,1,1
228,216,90,V,2014-09-15 07:50:47,2014-09-08 15:50:00,1,1
229,215,100,S,2014-09-15 07:50:15,,1,0
230,167,90,V,2014-09-15 07:52:27,2014-09-09 04:50:00,1,1
231,281,100,S,2014-09-15 07:54:55,,1,0
232,9,90,V,2014-09-15 07:53:22,2014-09-08 15:00:00,1,1
233,337,90,V,2014-09-15 07:50:26,2014-09-08 20:15:00,1,1
234,354,46,R,2014-09-15 07:51:51,,1,0
235,18,90,V,2014-09-15 07:51:24,2014-09-08 17:35:00,1,1
236,331,100,S,2014-09-15 07:53:30,,1,0
237,145,49,R,2014-09-15 07:52:08,,1,0
